bgu.10.1982	3	3	[τοῦ]	[Ε]ὐ̣βά[τα]	noun	[τοῦ] [Ε]ὐ̣βά[τα] [Ἀλεξάνδρο]υ̣ καὶ θε̣[ῶν]
bgu.10.1992_1	4	4	τοῦ	Χο̣ιὰχ	noun	τοῦ Χο̣ιὰχ ιβ Τοθοητίο(νι) |gap=unknown|
bgu.10.1992_2	4	4	τοῦ	Μεχ[εὶρ]	noun	τοῦ Μεχ[εὶρ]
bgu.11.2037	6	6	τὴν	Αὐτοκράτορος	noun	τὴν Αὐτοκράτορος |gap=1||gap=unknown| |gap=unknown| [τύχην]
bgu.11.2041	10	10	τοῦ	Μεσορὴ	noun	τοῦ Μεσορὴ μηνός , ἐμοῦ
bgu.11.2042	3	3	τῇ	Σοκνοπαίου	noun	τῇ Σοκνοπαίου Νήσωι τῆς Ἡρακλείδου
bgu.11.2043	3	3	[τῇ]	[Σοκνοπαίου]	noun	[τῇ] [Σοκνοπαίου] [Ν]ή̣[σῳ] [τ]ῆς̣ Ἡρακλείδου
bgu.11.2044_1	3	3	τ̣ῇ	Σ̣οκν̣[οπ]α̣ί̣ο̣υ̣	noun	τ̣ῇ Σ̣οκν̣[οπ]α̣ί̣ο̣υ̣ Ν̣ή̣σ̣ῳ τ̣ῆ̣ς̣ Ἡρ̣α̣κ̣λ̣εί-[δου]
bgu.11.2063	5	5-6	ὁ	κώ-μης	noun	ὁ κώ-μης Βακχι[άδος] [κωμογρ(αμματεὺς)] [Πτολ]λᾶς
bgu.11.2070_9	18	18	τοῦ	Φαρμ[οῦθι]	noun	τοῦ Φαρμ[οῦθι] [μηνὸς?] ε|gap=1||gap=5||gap=1|γη|gap=1| καλάμης
bgu.11.2075	6	6	τοῦ	Παῦνι	noun	τοῦ Παῦνι μη[νὸ]ς̣ το[ῦ] [ἐνεστ]ῶ̣τος
bgu.11.2076_1	6	6	τοῦ	Ἁθὺ̣ρ̣	noun	τοῦ Ἁθὺ̣ρ̣ μηνὸς τοῦ ἐνεστῶτος
bgu.11.2095	1	2	[τῇ]	[Σοκνοπαίου]	noun	[τῇ] [Σοκνοπαίου] [Νήσῳ] [τῆς] [Ἡρακλείδου]
bgu.11.2098	8	8	τοῦ	Ὀννώφριος	noun	τοῦ Ὀννώφριος , ἱερέω̣ν ἀπὸ
bgu.11.2102	2	2	τ(ὸν)	Θεωνε̣ίνου	noun	τ(ὸν) Θεωνε̣ίνου τοῦ καὶ Πτο̣λ̣
bgu.11.2111	16	16	[τοῦ]	Ἐ̣πὶ̣φ*	noun	[τοῦ] Ἐ̣πὶ̣φ* μηνὸς τοῦ ἐνεστῶ̣[τ]ο̣[ς]
bgu.11.2125	10	10	τῷ	[Παῦ]νι	noun	τῷ [Παῦ]νι καὶ Ἐπεὶφ μησὶ
bgu.12.2134	10	10	τὴ<ν>	Με<μ>φ<ι>τ̣ῶ̣ν̣	noun	τὴ<ν> Με<μ>φ<ι>τ̣ῶ̣ν̣ π̣[όλιν] τιμῆς χά[ρ]τ̣ου
bgu.12.2147_1	14	14	τῷ	Ἐπεὶφ	noun	τῷ Ἐπεὶφ μηνὶ κατʼ ἔτος
bgu.12.2148_1	14	14	τῷ	Ἐπεὶφ	noun	τῷ Ἐπεὶφ μηνὶ τῆς αὐ̣τ̣ῆς
bgu.12.2150	13	13	τῷ	Φαῶφι	noun	τῷ Φαῶφι μηνὶ [τοῦ] [ἔτους?]
bgu.12.2151_1	17	17	τῷ	Φαῶφι	noun	τῷ Φαῶφι μηνὶ ἑκάστου ἐνιαυτοῦ
bgu.12.2155	13	13	[τ̣ῷ̣]	[Παῦν]ι̣	noun	[τ̣ῷ̣] [Παῦν]ι̣ μην̣ὶ ἑκάστου ἔτους
bgu.12.2157_1	12	12	[τ]ῷ	Ἐπεὶφ	noun	[τ]ῷ Ἐπεὶφ μ̣ηνὶ κατʼ ἔτος
bgu.12.2159_1	14	14	τῷ	Φαῶφι	noun	τῷ Φαῶφι μηνὶ κατʼ ἔτος
bgu.12.2181	18	18	τῷ	Ἐπεὶφ	noun	τῷ Ἐπεὶφ μηνὶ ἑκάστου ἔτους
bgu.12.2182_1	13	13	τῷ	Θὼθ	noun	τῷ Θὼθ μηνὶ ἑκάστου ἔτους
bgu.12.2185	9	9	[τῷ]	Τῦβ[ι]	noun	[τῷ] Τῦβ[ι] μ̣ηνὶ καιρῷ τῆς
bgu.12.2186	9	9	[τῷ]	[Ἐ̣π̣ε̣ὶ̣φ̣]	noun	[τῷ] [Ἐ̣π̣ε̣ὶ̣φ̣] [μηνὶ] [ἑκά]σ̣τ̣ο[υ] [ἔ]τ̣ους
bgu.12.2197	11	11	τῷ	Ἐπεὶφ	noun	τῷ Ἐπεὶφ μηνὶ [τ]ῆ̣ς̣ σὺν
bgu.12.2199_1	9	9	τῷ	Παῦν[ι]	noun	τῷ Παῦν[ι] μηνὶ τῆς σὺν
bgu.12.2205_1	13	13	[τῷ]	Ἐπεὶφ	noun	[τῷ] Ἐπεὶφ μην̣ὶ καιρῷ τῆς
bgu.12.2207_1	13	13	[τῷ]	[Μεσορὴ]	noun	[τῷ] [Μεσορὴ] [μηνὶ] τῆς σὺν
bgu.12.2207_1	17	17	[τοῦ]	[Τῦβι]	noun	[τοῦ] [Τῦβι] [μηνὸς] [τῆς] [αὐτῆς]
bgu.12.2208_1	18	18	[τῷ]	[Μ]εχεὶρ	noun	[τῷ] [Μ]εχεὶρ μηνὶ τῆς παρούσης
bgu.12.2209_1	16	16	[τῷ]	Με[σο]ρ̣ὴ	noun	[τῷ] Με[σο]ρ̣ὴ μηνὶ τῆς σὺν
bgu.12.2210_1	15	15	τῷ	Μεχεὶρ	noun	τῷ Μεχεὶρ μηνὶ τῆς παρούσης
bgu.13.2219	11	11	τοῦ	Ἑριέως	noun	τοῦ Ἑριέως μητ(ρὸς) Στοτοήτ(εως) τῆς
bgu.13.2234colii	10	10	τὸ	Σατύρου	noun	τὸ Σατύρου ἐποίκιον τοῦ αὐτοῦ
bgu.13.2243	7	7-8	τῷ	Εὐ-[κλ]ε̣ίδου	noun	τῷ Εὐ-[κλ]ε̣ίδου ἄρουραι δύο ὧν
bgu.13.2246	9	10	τὴν	[Αὐτοκράτορος]	noun	τὴν [Αὐτοκράτορος] [Κ]α̣ί̣σαρος Νέρουα Τραιαν̣ο̣ῦ
bgu.13.2248	4	4	τὴν	Λουκίου	noun	τὴν Λουκίου Σεπτιμ̣ί̣ο̣υ̣ Σεουήρου Περτίνακος
bgu.13.2251	17	17	τῆς	Ἀχιλλίδο[ς]	noun	τῆς Ἀχιλλίδο[ς] |gap=unknown| |check| Κάστωρ
bgu.13.2264_2	9	9	τοῦ	Παχὼ(ν)	noun	τοῦ Παχὼ(ν) μη(νὸς) το̣ῦ̣ ἐνεστ(ῶτος)
bgu.13.2272	2	2	τῶν	Παῦνι	noun	τῶν Παῦνι ιθ [ἕως] Μεσορὴ
bgu.13.2274	5	5	τοῦ	Μεχεὶρ	noun	τοῦ Μεχεὶρ μηνὸς τοῦ ἐ[νεστ(ῶτος)]
bgu.13.2275coli	8	8	τοῦ	Παῦνι	noun	τοῦ Παῦνι μηνὸς τοῦ ἐνεστῶτος
bgu.13.2275colii	7	7	τοῦ	Πα[ῦνι]	noun	τοῦ Πα[ῦνι] μηνὸς τοῦ ἐνεσ[τῶτος]
bgu.13.2280_2	7	7	[τ]ῷ	Σεβήρου	noun	[τ]ῷ Σεβήρου (δραχμαὶ) η |gap=unknown|
bgu.13.2280_2	9	9	τῷ	Σεβ[ή]ρου	noun	τῷ Σεβ[ή]ρου (δραχμαὶ) η (γίνονται)
bgu.13.2280_2	13	13	τῷ	Καβίτωνος	noun	τῷ Καβίτωνος (δραχμαὶ) κδ Διωκορίων*
bgu.13.2280_3	6	6	τῷ	Φει[λοξένου]	noun	τῷ Φει[λοξένου] |gap=unknown| Κοπρῆς ἐν
bgu.13.2280_3	7	7	τῷ	Θήων̣ο̣[ς]|gap=unknown|*	noun	τῷ Θήων̣ο̣[ς]|gap=unknown|* Ἡρᾶς̣ |extra| [Σ]τεφανηπλόκ̣[οις]*
bgu.13.2330	3	4	τ̣[ῇ]	[Σοκνο(παίου)]	noun	τ̣[ῇ] [Σοκνο(παίου)] Νήσου* τῆς Ἡρακλείδ̣ου
bgu.13.2330	18	18	[τοῦ]	[Ἑριέως]	noun	[τοῦ] [Ἑριέως] [καὶ] [ἐκ] [τῶν]
bgu.13.2331	4	4	τῇ	Σοκνοπαίου	noun	τῇ Σοκνοπαίου Νήσῳ τῆς Ἡρακλεί-δου
bgu.13.2334	7	7	τῷ	Παχὼν	noun	τῷ Παχὼν [μη]νὶ τοῦ ἐνεστῶτος
bgu.13.2340	17	17	τῷ	Παῦνι	noun	τῷ Παῦνι — [μην]ὶ̣ τοῦ
